hull_id,L,B,T,B_over_L,T_over_L
wigley_00,6.8226043951444035,0.6880029051491773,0.3735289042312213,0.10084168234037193,0.05474872682007754
wigley_01,5.730263197094064,0.6237891969973521,0.3682916394618852,0.10885873397816853,0.06427133044231784
wigley_02,7.023886029800964,0.778393396199168,0.43820550325213053,0.11082090354208457,0.062387900571408896
wigley_03,7.954961406210443,0.6001525409135898,0.4141677520993242,0.07544380296365114,0.052064080634757474
wigley_04,7.8356134879919335,0.9384389690555036,0.35641864926916866,0.11976585758009375,0.04548701257602608
wigley_05,4.777276127821523,0.6027399612375378,0.3275738106993887,0.12616812281947626,0.06856915990090885
wigley_06,4.317236882800742,0.3304952911548946,0.2556308195497858,0.0765525034013169,0.0592116732274253
wigley_07,4.964547403187013,0.5115665890986102,0.22821289172335021,0.10304395296340765,0.04596851901884307
wigley_08,4.422161650292624,0.361326169579707,0.31714248276879625,0.08170804193822205,0.07171661912173885
wigley_09,6.295619623421278,0.6281049404112056,0.4723435446766674,0.09976856576189869,0.07502733216591286
wigley_10,4.025523784409218,0.38463370692835225,0.28567090412650165,0.0955487354013487,0.07096490281162912
wigley_11,6.162954029396513,0.7321322301941902,0.362592547367961,0.1187956662830863,0.05883421256080125
wigley_12,5.987007849466453,0.5854481994814289,0.446340142200468,0.0977864426106611,0.07455145431958048
wigley_13,6.633018600531749,0.6191542932362769,0.32267251968388483,0.09334427212169151,0.04864640657844939
wigley_14,7.329973489799775,0.6306082480670384,0.39506191488456643,0.08603145003792695,0.053896772673779195
wigley_15,4.61952356425032,0.5978531150986905,0.2835126934853773,0.12941878243145474,0.06137271290906104
wigley_16,4.5317504496025025,0.48621318826162474,0.23089304941028788,0.10729037127458604,0.05095008032283428
wigley_17,7.299263773024899,0.7979526940180341,0.4775051024691549,0.1093196134337468,0.06541825550048197
wigley_18,4.229483462137367,0.33552029791438115,0.24043957360960505,0.07932890645346706,0.05684844869640395
wigley_19,5.443125880404711,0.4288655455642049,0.2634461287931987,0.07879030450280852,0.04839978618565602
wigley_20,7.533159703820953,0.6688945290568648,0.4341391456566653,0.08879335569078531,0.05763041840682896
wigley_21,6.023500114258398,0.7502144255298608,0.33665714405609193,0.12454792251999913,0.05589061802442425
wigley_22,7.444079283925459,0.7075156286723788,0.47156779051537867,0.09504407485290609,0.06334803439475306
wigley_23,6.356328261076763,0.46196600712824876,0.4061219413810616,0.07267812299077071,0.06389253743674095
wigley_24,5.214659692673184,0.4414162016660207,0.4077810956142506,0.084649090771202,0.07819898510102206
wigley_25,4.171861610797801,0.5342469681967223,0.20721979985741507,0.12805960936334998,0.04967082304961397
wigley_26,4.844296784765872,0.4351348540527575,0.35505655952052995,0.08982415268634039,0.07329372565221354
wigley_27,6.459361313855993,0.45395725626860056,0.47058965479458825,0.07027896942300095,0.07285389869508076
wigley_28,7.797728792686614,0.5798775418601178,0.3664381667332392,0.07436492820883654,0.0469929355682281
wigley_29,7.653812276974861,0.9357404880459751,0.39464269858306755,0.1222580923314496,0.05156158582178456
wigley_30,5.684768789728683,0.49432202299228306,0.43763972674337265,0.0869555194373834,0.07698461325887272
wigley_31,6.761897877390352,0.7137029840699525,0.407056127838968,0.1055477318662782,0.060198502731020974
wigley_32,5.863818738944661,0.682363938228024,0.31457478765063523,0.11636852512102586,0.05364674483564455
wigley_33,6.503810233545049,0.5342042999096733,0.4366512262074846,0.0821371289639386,0.0671377562579156
wigley_34,5.173413003854048,0.6339822879675036,0.40582110388327924,0.12254623543397841,0.07844359295902993
wigley_35,6.928310981084101,0.812870721423255,0.47986721075821065,0.11732595774678432,0.06926178863338549
wigley_36,5.39036090378465,0.49131035459509176,0.3583306865837062,0.09114609640518424,0.06647619574639559
wigley_37,5.5797636635204775,0.6307424273285004,0.44355317331565397,0.11304106506377402,0.07949318287717584
wigley_38,5.082322721706077,0.5169488549760549,0.35429530062889325,0.10171507857386144,0.06971129541139419
wigley_39,7.128053704404906,0.8151062024173396,0.5413835536694223,0.11435186044033735,0.07595110476438537
